Contestant,Season,Victor?,Total Days,Forced Tap?,Gender,Age
Alan Kay,1,1,56,no,M,40
Sam Larson,1,0,55,no,M,22
Mitch Mitchell,1,0,43,no,M,34
Lucas Miller,1,0,39,no,M,32
Dustin Feher,1,0,8,no,M,37
Brant McGee,1,0,6,no,M,44
Joe Robinet,1,0,4,no,M,24
Wayne Russell,1,0,4,no,M,46
"Weatherman, Chris",1,0,2,no,M,41
Josh Chavez,1,0,1,no,M,31
David McIntyre,2,1,66,no,M,50
Larry Roberts,2,0,64,no,M,44
Jose Martinez Amoedo,2,0,59,no,M,45
Nicole Apelian,2,0,57,no,F,45
Justin Vititoe,2,0,35,no,M,35
Randy Champagne,2,0,21,no,M,28
Mike Lowe,2,0,21,no,M,55
Tracy Wilson,2,0,8,no,F,44
Mary Kate Green,2,0,7,yes,F,36
Desmond White,2,0,1,no,M,37
Zachary Fowler,3,1,89,no,M,36
Carleigh Fairchild,3,0,86,yes,F,28
Megan Hanacek,3,0,78,no,F,41
Dave Nessia,3,0,73,yes,M,49
Callie North,3,0,72,no,F,27
Greg Ovens,3,0,51,no,M,53
Dan Wowak,3,0,51,no,M,34
Britt Ahart,3,0,35,no,M,40
Zachary Gault,3,0,8,yes,M,22
Jim Shields,3,0,2,no,M,37
Jordan Jonas,6,1,77,no,M,35
Woniya Thibeault,6,0,73,no,F,42
Nathan Donnelly,6,0,72,no,M,39
Barry Karcher,6,0,69,yes,M,39
Nikki van Schyndel,6,0,52,no,F,44
Michelle Wohlberg,6,0,48,yes,F,31
Brady Nicholls,6,0,32,no,M,36
Ray Livingston,6,0,19,no,M,43
Donny Dust,6,0,8,yes,M,38
Tim Backus,6,0,4,yes,M,55
Roland Welker,7,1,100,no,M,47
Callie Russell,7,0,89,yes,F,31
Kielyn Marrone,7,0,80,no,F,33
Amós Rodriguez,7,0,58,no,M,40
Mark D’Ambrosio,7,0,44,no,M,33
Joe Nicholas,7,0,44,no,M,31
Joel Van Der Loon,7,0,40,no,M,34
Keith Syers,7,0,22,yes,M,45
Correy Hawk,7,0,12,yes,M,30
Shawn Helton,7,0,10,no,M,43
Clay Hayes,8,1,74,no,M,40
Biko Wright,8,0,73,no,M,29
Theresa Emmerich Kamper,8,0,69,yes,F,40
Colter Barnes,8,0,67,yes,M,36
Rose Anna Moore,8,0,37,no,F,43
Nate Weber,8,0,24,no,M,47
Matt Corradino,8,0,22,no,M,42
Michelle Finn,8,0,21,no,F,46
Jordon Bell,8,0,19,no,M,43
Tim Madsen,8,0,6,yes,M,48
